feature_set,model,true,pred,count
No voltage sensors,RF,Normal,Degradation,1916
No voltage sensors,RF,Normal,Open-Circuit,0
No voltage sensors,RF,Normal,Shadowing,21508
No voltage sensors,RF,Short-Circuit,Normal,5730
No voltage sensors,RF,Short-Circuit,Short-Circuit,53
No voltage sensors,RF,Short-Circuit,Degradation,165
No voltage sensors,RF,Short-Circuit,Open-Circuit,4
No voltage sensors,RF,Short-Circuit,Shadowing,47
No voltage sensors,RF,Degradation,Normal,5989
No voltage sensors,RF,Degradation,Short-Circuit,71
No voltage sensors,RF,Degradation,Degradation,3938
No voltage sensors,RF,Degradation,Open-Circuit,25
No voltage sensors,RF,Degradation,Shadowing,348
No voltage sensors,RF,Open-Circuit,Normal,0
No voltage sensors,RF,Open-Circuit,Short-Circuit,1
No voltage sensors,RF,Open-Circuit,Degradation,6
No voltage sensors,RF,Open-Circuit,Open-Circuit,5409
No voltage sensors,RF,Open-Circuit,Shadowing,608
No voltage sensors,RF,Shadowing,Normal,21657
No voltage sensors,RF,Shadowing,Short-Circuit,29
No voltage sensors,RF,Shadowing,Degradation,61
No voltage sensors,RF,Shadowing,Open-Circuit,34
No voltage sensors,RF,Shadowing,Shadowing,166692
No voltage sensors,HistGBM,Normal,Normal,300680
No voltage sensors,HistGBM,Normal,Short-Circuit,53845
No voltage sensors,HistGBM,Normal,Degradation,19641
No voltage sensors,HistGBM,Normal,Open-Circuit,0
No voltage sensors,HistGBM,Normal,Shadowing,28678
No voltage sensors,HistGBM,Short-Circuit,Normal,1427
No voltage sensors,HistGBM,Short-Circuit,Short-Circuit,3605
No voltage sensors,HistGBM,Short-Circuit,Degradation,936
No voltage sensors,HistGBM,Short-Circuit,Open-Circuit,7
No voltage sensors,HistGBM,Short-Circuit,Shadowing,24
No voltage sensors,HistGBM,Degradation,Normal,1939
No voltage sensors,HistGBM,Degradation,Short-Circuit,1722
No voltage sensors,HistGBM,Degradation,Degradation,6387
No voltage sensors,HistGBM,Degradation,Open-Circuit,33
No voltage sensors,HistGBM,Degradation,Shadowing,290
No voltage sensors,HistGBM,Open-Circuit,Normal,0
No voltage sensors,HistGBM,Open-Circuit,Short-Circuit,0
No voltage sensors,HistGBM,Open-Circuit,Degradation,2
No voltage sensors,HistGBM,Open-Circuit,Open-Circuit,6022
No voltage sensors,HistGBM,Open-Circuit,Shadowing,0
No voltage sensors,HistGBM,Shadowing,Normal,12441
No voltage sensors,HistGBM,Shadowing,Short-Circuit,137
No voltage sensors,HistGBM,Shadowing,Degradation,139
No voltage sensors,HistGBM,Shadowing,Open-Circuit,38
