,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-02-23 12:00:00+08:00,2.6030098553167783e-05,0.15645726334402357,0.6114063162548031,4.664612740864414e-10,0.2321103898361589,Degradation,1,0.9999739699014468,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 12:15:00+08:00,3.114752610805035e-05,0.08514726037681626,0.6247840199725869,5.1347429348906904e-08,0.2900375207770594,Degradation,1,0.999968852473892,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-23 12:30:00+08:00,3.0112737278976442e-05,0.09157835131068606,0.6266417576586845,7.243046163656082e-08,0.2817497058628889,Degradation,1,0.9999698872627211,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-23 12:45:00+08:00,3.2140165563283034e-05,0.11221431312715655,0.6415922811944653,6.272073240768625e-07,0.24616063830549084,Degradation,1,0.9999678598344367,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 13:00:00+08:00,4.3377380171466846e-05,0.13104403835333706,0.6672715894853065,8.95078265876116e-06,0.20163204399852627,Degradation,1,0.9999566226198285,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 13:15:00+08:00,7.18263460098956e-05,0.12958477203429106,0.68422182164079,2.9928644616802837e-05,0.186091651334292,Degradation,1,0.9999281736539901,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 13:30:00+08:00,0.0001390881419403868,0.1250166727991316,0.6977666414656525,0.00010305994261940303,0.17697453765065616,Degradation,1,0.9998609118580596,Degradation,Degradation,Shadowing,Degradation,Degradation
2023-02-23 13:45:00+08:00,0.000193111849173981,0.1290077881435741,0.6987697243683393,0.0004398033749856851,0.1715895722639269,Degradation,1,0.999806888150826,Degradation,Degradation,Shadowing,Degradation,Degradation
2023-02-23 14:00:00+08:00,0.00019194421572152348,0.13404300556636886,0.6473707732523077,0.001994676208374082,0.2163996007572279,Degradation,1,0.9998080557842784,Degradation,Degradation,Shadowing,Degradation,Degradation
2023-02-23 14:15:00+08:00,0.0001730167827554124,0.1446357660797901,0.397153699752291,0.009778692326552188,0.44825882505861137,Shadowing,1,0.9998269832172446,Degradation,Shadowing,Shadowing,Degradation,Shadowing
2023-02-23 14:30:00+08:00,2.81441926528418e-05,0.07695523881335656,0.17784586697303184,0.08058927583035023,0.6645814741906085,Shadowing,1,0.9999718558073472,Shadowing,Shadowing,Degradation,Shadowing,Shadowing
2023-02-23 14:45:00+08:00,6.932157616234785e-06,0.008763006818852188,0.006197051704379895,0.02644340544408354,0.9585896038750681,Shadowing,1,0.9999930678423837,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 15:00:00+08:00,3.021993448062968e-06,0.0002700237643366723,0.00012089790582155881,9.735224301113773e-07,0.9996050828139635,Shadowing,1,0.999996978006552,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 15:15:00+08:00,8.396068390654258e-07,1.5601793115169855e-07,1.5084765242332502e-06,4.082101315071755e-09,0.9999974918166042,Shadowing,1,0.999999160393161,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 15:30:00+08:00,3.0325854582714037e-05,1.5764726073094087e-08,1.4337893003481148e-07,9.171017604937687e-10,0.9999695140846594,Shadowing,1,0.9999696741454173,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 15:45:00+08:00,0.0002696210721757314,3.0024509597167385e-09,3.521236639545431e-08,3.197902153871352e-09,0.9997303375151049,Shadowing,1,0.9997303789278242,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 16:00:00+08:00,0.0006940688096374889,1.7003190208987943e-09,4.2760259817883075e-09,3.1804336309048336e-09,0.9993059220335839,Shadowing,1,0.9993059311903625,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 16:15:00+08:00,0.0005573390301794757,1.4176422747402841e-10,1.3515479338957285e-10,1.3115838105224691e-09,0.9994426593813177,Shadowing,1,0.9994426609698205,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 16:30:00+08:00,0.0017316080214926644,3.5855402124940193e-12,8.945128405411303e-11,3.3848161863230993e-10,0.998268391546989,Shadowing,1,0.9982683919785074,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 16:45:00+08:00,0.15239217047029113,1.1703604954602569e-12,5.909813195457266e-09,1.2315711589792553e-09,0.8476078223871543,Shadowing,1,0.8476078295297089,Normal,Shadowing,Shadowing,Shadowing,Shadowing
